,name,oversampler,proportion,balanced acc,precision,recall,f1_score,geometric mean,average precision
0,abalone,ADASYN,0.5,0.6003086974764731,0.2824427480916031,0.27611940298507465,0.279245283018868,0.5052443305996308,0.14832874966652163
0,abalone,ADASYN,0.7,0.6003086974764731,0.2824427480916031,0.27611940298507465,0.279245283018868,0.5052443305996308,0.14832874966652163
0,abalone,ADASYN,0.9,0.6003086974764731,0.2824427480916031,0.27611940298507465,0.279245283018868,0.5052443305996308,0.14832874966652163
0,abalone,ADASYN,1.0,0.6003086974764731,0.2824427480916031,0.27611940298507465,0.279245283018868,0.5052443305996308,0.14832874966652163
0,sick_euthyroid,,0.0,0.9276570500811789,0.9263157894736842,0.8627450980392157,0.8934010152284264,0.9253831860626262,0.8125843682905709
0,sick_euthyroid,synthsonic,0.1,0.9234107655801174,0.8543689320388349,0.8627450980392157,0.8585365853658536,0.9214158229437323,0.7505125697193284
0,sick_euthyroid,synthsonic,0.3,0.9489821406269514,0.8773584905660378,0.9117647058823529,0.8942307692307693,0.9482520581469583,0.8085651957595009
0,sick_euthyroid,synthsonic,0.5,0.9468589983764206,0.8454545454545455,0.9117647058823529,0.8773584905660377,0.9462084090942858,0.7794763046284344
0,sick_euthyroid,synthsonic,0.7,0.9370550768077932,0.8425925925925926,0.8921568627450981,0.8666666666666667,0.9359788284706229,0.7622611624470989
0,sick_euthyroid,synthsonic,0.9,0.9393031097789435,0.8070175438596491,0.9019607843137255,0.8518518518518519,0.9385605376155784,0.7374767208758881
0,sick_euthyroid,synthsonic,1.0,0.9424878231547396,0.8518518518518519,0.9019607843137255,0.8761904761904761,0.9416160873295117,0.7779155084766984
0,sick_euthyroid,ADASYN,0.1,0.9332146871487448,0.8571428571428571,0.8823529411764706,0.8695652173913043,0.9318276316501789,0.7677967738819665
0,sick_euthyroid,ADASYN,0.3,0.9332146871487448,0.8571428571428571,0.8823529411764706,0.8695652173913043,0.9318276316501789,0.7677967738819665
0,sick_euthyroid,ADASYN,0.5,0.9332146871487448,0.8571428571428571,0.8823529411764706,0.8695652173913043,0.9318276316501789,0.7677967738819665
0,sick_euthyroid,ADASYN,0.7,0.9332146871487448,0.8571428571428571,0.8823529411764706,0.8695652173913043,0.9318276316501789,0.7677967738819665
0,sick_euthyroid,ADASYN,0.9,0.9332146871487448,0.8571428571428571,0.8823529411764706,0.8695652173913043,0.9318276316501789,0.7677967738819665
0,sick_euthyroid,ADASYN,1.0,0.9332146871487448,0.8571428571428571,0.8823529411764706,0.8695652173913043,0.9318276316501789,0.7677967738819665
0,spectrometer,,0.0,0.8729189789123196,0.8125,0.7647058823529411,0.787878787878788,0.8661855860486004,0.6440508021390374
0,spectrometer,ADASYN,0.1,0.8634850166481687,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.8578164469184381,0.5459470869687587
0,spectrometer,ADASYN,0.3,0.8634850166481687,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.8578164469184381,0.5459470869687587
0,spectrometer,ADASYN,0.5,0.8634850166481687,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.8578164469184381,0.5459470869687587
0,spectrometer,ADASYN,0.7,0.8634850166481687,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.8578164469184381,0.5459470869687587
0,spectrometer,ADASYN,0.9,0.8634850166481687,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.8578164469184381,0.5459470869687587
0,spectrometer,ADASYN,1.0,0.8634850166481687,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.8578164469184381,0.5459470869687587
0,car_eval_34,,0.0,0.9575868002834296,0.9444444444444444,0.918918918918919,0.9315068493150684,0.9568057666150622,0.8731218083232094
0,car_eval_34,synthsonic,0.1,0.9962546816479401,0.9024390243902439,1.0,0.9487179487179488,0.9962476415509751,0.9024390243902439
0,car_eval_34,synthsonic,0.3,0.9789958497823666,0.8181818181818182,0.972972972972973,0.8888888888888891,0.9789773229477979,0.79782010955391
0,car_eval_34,synthsonic,0.5,0.9705688834902318,0.6792452830188679,0.972972972972973,0.7999999999999999,0.9705659060327816,0.6626386158818501
0,car_eval_34,synthsonic,0.7,0.9887640449438202,0.7551020408163265,1.0,0.8604651162790697,0.9887002022289874,0.7551020408163265
0,car_eval_34,synthsonic,0.9,0.9840823970037453,0.6851851851851852,1.0,0.8131868131868133,0.9839536544001911,0.6851851851851852
0,car_eval_34,synthsonic,1.0,0.9868913857677903,0.7254901960784313,1.0,0.8409090909090908,0.9868043228196665,0.7254901960784313
0,car_eval_34,ADASYN,0.1,0.9566504706954145,0.918918918918919,0.918918918918919,0.918918918918919,0.9559060900958294,0.8496659200024563
0,car_eval_34,ADASYN,0.3,0.9566504706954145,0.918918918918919,0.918918918918919,0.918918918918919,0.9559060900958294,0.8496659200024563
0,car_eval_34,ADASYN,0.5,0.9566504706954145,0.918918918918919,0.918918918918919,0.918918918918919,0.9559060900958294,0.8496659200024563
0,car_eval_34,ADASYN,0.7,0.9566504706954145,0.918918918918919,0.918918918918919,0.918918918918919,0.9559060900958294,0.8496659200024563
0,car_eval_34,ADASYN,0.9,0.9566504706954145,0.918918918918919,0.918918918918919,0.918918918918919,0.9559060900958294,0.8496659200024563
0,car_eval_34,ADASYN,1.0,0.9566504706954145,0.918918918918919,0.918918918918919,0.918918918918919,0.9559060900958294,0.8496659200024563
0,isolet,,0.0,0.891928570970959,0.9567901234567902,0.7868020304568528,0.8635097493036212,0.8857115705430482,0.7691214281738817
0,isolet,ADASYN,0.1,0.9391140562369066,0.8793969849246231,0.8883248730964467,0.8838383838383839,0.9377396597657905,0.7897372235815723
0,isolet,ADASYN,0.3,0.9391140562369066,0.8793969849246231,0.8883248730964467,0.8838383838383839,0.9377396597657905,0.7897372235815723
0,isolet,ADASYN,0.5,0.9391140562369066,0.8793969849246231,0.8883248730964467,0.8838383838383839,0.9377396597657905,0.7897372235815723
0,isolet,ADASYN,0.7,0.9391140562369066,0.8793969849246231,0.8883248730964467,0.8838383838383839,0.9377396597657905,0.7897372235815723
0,isolet,ADASYN,0.9,0.9391140562369066,0.8793969849246231,0.8883248730964467,0.8838383838383839,0.9377396597657905,0.7897372235815723
0,isolet,ADASYN,1.0,0.9391140562369066,0.8793969849246231,0.8883248730964467,0.8838383838383839,0.9377396597657905,0.7897372235815723
0,us_crime,,0.0,0.6654661016949153,0.5833333333333334,0.3559322033898305,0.4421052631578947,0.5890958311727258,0.26529024459247447
